accession,full_header,dist_HvCHS2,dist_CpCHS1,dist_PmSPS1,dist_PhCHS,dist_MsCHS,caffeoyl_anchor_min_dist,pcoumaroyl_anchor_min_dist,differential_score,triad_intact,residue_tier,organism,protein_name
A0AAV9V8E7,tr|A0AAV9V8E7|A0AAV9V8E7_9PEZI,3.4981,3.8367,3.6816,3.5696,3.6387,3.4981,3.5696,-0.0715,True,B_aliphatic_gatekeeper,Orbilia blumenaviensis,Chalcone synthase
A0AAV9W576,tr|A0AAV9W576|A0AAV9W576_9PEZI,3.4228,3.7613,3.6062,3.4942,3.5633,3.4228,3.4942,-0.0715,True,B_aliphatic_gatekeeper,Arthrobotrys musiformis,Thiolase-like protein
A0AAD6J3S1,tr|A0AAD6J3S1|A0AAD6J3S1_DREDA,3.5289,3.8674,3.7124,3.6004,3.6694,3.5289,3.6004,-0.0715,True,B_aliphatic_gatekeeper,Drechslerella dactyloides,Uncharacterized protein
A0AAV9UJZ3,tr|A0AAV9UJZ3|A0AAV9UJZ3_9PEZI,3.471,3.8096,3.6545,3.5425,3.6116,3.471,3.5425,-0.0715,True,B_aliphatic_gatekeeper,Orbilia brochopaga,Thiolase-like protein
A0AAV9XNL7,tr|A0AAV9XNL7|A0AAV9XNL7_9PEZI,3.3942,3.7328,3.5777,3.4657,3.5347,3.3942,3.4657,-0.0715,True,B_aliphatic_gatekeeper,Orbilia ellipsospora,Thiolase-like protein
S8BVV0,tr|S8BVV0|S8BVV0_DACHA,3.4156,3.7541,3.599,3.487,3.5561,3.4156,3.487,-0.0715,True,B_aliphatic_gatekeeper,Dactylellina haptotyla (strain CBS 200.50),Chalcone/stilbene synthase N-terminal domain-containing protein
A0A9P3L7D7,tr|A0A9P3L7D7|A0A9P3L7D7_9APHY,3.2596,3.5982,3.4431,3.3311,3.4002,3.2596,3.3311,-0.0715,True,B_aliphatic_gatekeeper,Phanerochaete sordida,Chalcone synthase
A0A145YFN8,tr|A0A145YFN8|A0A145YFN8_9BASI,3.3309,3.6694,3.5143,3.4023,3.4714,3.3309,3.4023,-0.0715,True,B_aliphatic_gatekeeper,Sporotrichum laxum,Type III polyketide synthase
K5X979,tr|K5X979|K5X979_PHACS,3.2472,3.5858,3.4307,3.3187,3.3877,3.2472,3.3187,-0.0715,True,B_aliphatic_gatekeeper,Phanerochaete carnosa (strain HHB-10118-sp),Chalcone synthase
A0A2R6NMC4,tr|A0A2R6NMC4|A0A2R6NMC4_9APHY,3.1598,3.4984,3.3433,3.2313,3.3003,3.1598,3.2313,-0.0715,True,B_aliphatic_gatekeeper,Hermanssonia centrifuga,Chalcone synthase
A0ACC1TE54,tr|A0ACC1TE54|A0ACC1TE54_9APHY,3.1719,3.5105,3.3554,3.2434,3.3124,3.1719,3.2434,-0.0715,True,B_aliphatic_gatekeeper,Phlebia brevispora,Uncharacterized protein
A0A2R6NM78,tr|A0A2R6NM78|A0A2R6NM78_9APHY,3.0647,3.4033,3.2482,3.1362,3.2052,3.0647,3.1362,-0.0715,True,B_aliphatic_gatekeeper,Hermanssonia centrifuga,Chalcone synthase
K5V9D4,tr|K5V9D4|K5V9D4_PHACS,3.3815,3.72,3.5649,3.4529,3.522,3.3815,3.4529,-0.0715,True,B_aliphatic_gatekeeper,Phanerochaete carnosa (strain HHB-10118-sp),Chalcone synthase
A0A145YFY3,tr|A0A145YFY3|A0A145YFY3_9BASI,3.2738,3.6124,3.4573,3.3453,3.4143,3.2738,3.3453,-0.0715,True,B_aliphatic_gatekeeper,Sporotrichum laxum,Type III polyketide synthase
A0A9P3L7Y5,tr|A0A9P3L7Y5|A0A9P3L7Y5_9APHY,3.3942,3.7327,3.5776,3.4656,3.5347,3.3942,3.4656,-0.0715,True,B_aliphatic_gatekeeper,Phanerochaete sordida,Type III polyketide synthase
A0A4S3J2Q2,tr|A0A4S3J2Q2|A0A4S3J2Q2_9EURO,3.259,3.5976,3.4425,3.3305,3.3995,3.259,3.3305,-0.0715,True,A_HvCHS2_pattern(I265),Aspergillus tanneri,Chalcone/stilbene synthase N-terminal domain-containing protein
A0A5N5WIJ4,tr|A0A5N5WIJ4|A0A5N5WIJ4_9EURO,3.3635,3.7021,3.547,3.435,3.504,3.3635,3.435,-0.0715,True,A_HvCHS2_pattern(I265),Aspergillus leporis,Thiolase-like protein
A0A2G7FEY6,tr|A0A2G7FEY6|A0A2G7FEY6_9EURO,3.4313,3.7699,3.6148,3.5028,3.5719,3.4313,3.5028,-0.0715,True,A_HvCHS2_pattern(I265),Aspergillus arachidicola,Chalcone synthase
A0A7U2R353,tr|A0A7U2R353|A0A7U2R353_ASPFN,3.4172,3.7557,3.6007,3.4887,3.5577,3.4172,3.4887,-0.0715,True,A_HvCHS2_pattern(I265),Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167),Thiolase-like protein
A0ABQ6L474,tr|A0ABQ6L474|A0ABQ6L474_ASPOZ,3.4392,3.7777,3.6226,3.5106,3.5797,3.4392,3.5106,-0.0715,True,A_HvCHS2_pattern(I265),Aspergillus oryzae var. brunneus,Unnamed protein product
A0A0L1J3G7,tr|A0A0L1J3G7|A0A0L1J3G7_ASPN3,3.513,3.8515,3.6964,3.5844,3.6535,3.513,3.5844,-0.0715,True,A_HvCHS2_pattern(I265),Aspergillus nomiae NRRL (strain ATCC 15546 / NRRL 13137 / CBS 260.88 / M93),Chalcone synthase
A0A1F7ZX70,tr|A0A1F7ZX70|A0A1F7ZX70_9EURO,3.525,3.8636,3.7085,3.5965,3.6655,3.525,3.5965,-0.0715,True,A_HvCHS2_pattern(I265),Aspergillus bombycis,Chalcone synthase
A0A1Q5UH31,tr|A0A1Q5UH31|A0A1Q5UH31_9EURO,3.0906,3.4291,3.274,3.162,3.2311,3.0906,3.162,-0.0715,True,A_HvCHS2_pattern(I265),Penicillium subrubescens,Chalcone synthase 1B
A0AAD6CA57,tr|A0AAD6CA57|A0AAD6CA57_9EURO,3.085,3.4235,3.2685,3.1565,3.2255,3.085,3.1565,-0.0715,True,A_HvCHS2_pattern(I265),Penicillium daleae,Chalcone synthase
A0A5N7B7K2,tr|A0A5N7B7K2|A0A5N7B7K2_9EURO,3.4995,3.838,3.6829,3.571,3.64,3.4995,3.571,-0.0715,True,A_HvCHS2_pattern(I265),Aspergillus bertholletiae,Thiolase-like protein
A0A0L1JI55,tr|A0A0L1JI55|A0A0L1JI55_ASPN3,3.5416,3.8801,3.725,3.613,3.6821,3.5416,3.613,-0.0715,True,A_HvCHS2_pattern(I265),Aspergillus nomiae NRRL (strain ATCC 15546 / NRRL 13137 / CBS 260.88 / M93),Putative chalcone synthase
A0A1F7ZP32,tr|A0A1F7ZP32|A0A1F7ZP32_9EURO,3.5099,3.8485,3.6934,3.5814,3.6504,3.5099,3.5814,-0.0715,True,A_HvCHS2_pattern(I265),Aspergillus bombycis,Putative chalcone synthase
A0A2G7GAE9,tr|A0A2G7GAE9|A0A2G7GAE9_9EURO,3.5042,3.8428,3.6877,3.5757,3.6447,3.5042,3.5757,-0.0715,True,A_HvCHS2_pattern(I265),Aspergillus arachidicola,Chalcone synthase
A0A5N6IP24,tr|A0A5N6IP24|A0A5N6IP24_9EURO,3.5215,3.86,3.705,3.593,3.662,3.5215,3.593,-0.0715,True,A_HvCHS2_pattern(I265),Aspergillus minisclerotigenes,Thiolase-like protein
A0ABQ6LE57,tr|A0ABQ6LE57|A0ABQ6LE57_ASPOZ,3.5365,3.875,3.7199,3.6079,3.677,3.5365,3.6079,-0.0715,False,D_broken_triad,Aspergillus oryzae var. brunneus,Unnamed protein product
A0A5N6ZX19,tr|A0A5N6ZX19|A0A5N6ZX19_9EURO,3.5488,3.8873,3.7322,3.6202,3.6893,3.5488,3.6202,-0.0715,True,A_HvCHS2_pattern(I265),Aspergillus caelatus,Thiolase-like protein
A0A5N6T220,tr|A0A5N6T220|A0A5N6T220_ASPPS,3.5481,3.8867,3.7316,3.6196,3.6887,3.5481,3.6196,-0.0715,True,A_HvCHS2_pattern(I265),Aspergillus pseudotamarii,Thiolase-like protein
A0A5N6USH5,tr|A0A5N6USH5|A0A5N6USH5_ASPTM,3.5725,3.911,3.756,3.644,3.713,3.5725,3.644,-0.0715,True,A_HvCHS2_pattern(I265),Aspergillus tamarii,Thiolase-like protein
S8AYV8,tr|S8AYV8|S8AYV8_PENO1,3.7475,4.0861,3.931,3.819,3.888,3.7475,3.819,-0.0715,True,A_HvCHS2_pattern(I265),Penicillium oxalicum (strain 114-2 / CGMCC 5302),Uncharacterized protein
A0A9W9VRL8,tr|A0A9W9VRL8|A0A9W9VRL8_9EURO,3.6644,4.003,3.8479,3.7359,3.8049,3.6644,3.7359,-0.0715,True,A_HvCHS2_pattern(I265),Penicillium cosmopolitanum,Thiolase-like protein
A0A0F7TBQ5,tr|A0A0F7TBQ5|A0A0F7TBQ5_PENBI,3.5656,3.9042,3.7491,3.6371,3.7062,3.5656,3.6371,-0.0715,True,A_HvCHS2_pattern(I265),Penicillium brasilianum,Chalcone synthase
A0A9W9V119,tr|A0A9W9V119|A0A9W9V119_9EURO,3.5501,3.8887,3.7336,3.6216,3.6906,3.5501,3.6216,-0.0715,True,A_HvCHS2_pattern(I265),Penicillium cataractarum,Thiolase-like protein
A0A5N6TB57,tr|A0A5N6TB57|A0A5N6TB57_ASPPS,3.3111,3.6496,3.4945,3.3825,3.4516,3.3111,3.3825,-0.0715,True,A_HvCHS2_pattern(I265),Aspergillus pseudotamarii,Thiolase-like protein
A0A5N7CXL2,tr|A0A5N7CXL2|A0A5N7CXL2_9EURO,3.2746,3.6131,3.458,3.346,3.4151,3.2746,3.346,-0.0715,True,A_HvCHS2_pattern(I265),Aspergillus pseudonomiae,Thiolase-like protein
A0A5N6V0I9,tr|A0A5N6V0I9|A0A5N6V0I9_ASPTM,3.4706,3.8091,3.6541,3.5421,3.6111,3.4706,3.5421,-0.0715,True,A_HvCHS2_pattern(I265),Aspergillus tamarii,Thiolase-like protein
A0A5N6W9V2,tr|A0A5N6W9V2|A0A5N6W9V2_9EURO,3.4749,3.8134,3.6584,3.5464,3.6154,3.4749,3.5464,-0.0715,True,A_HvCHS2_pattern(I265),Aspergillus transmontanensis,Thiolase-like protein
A0ABQ6KH95,tr|A0ABQ6KH95|A0ABQ6KH95_ASPOZ,3.5605,3.8991,3.744,3.632,3.701,3.5605,3.632,-0.0715,True,A_HvCHS2_pattern(I265),Aspergillus oryzae var. brunneus,Unnamed protein product
Q2U852,sp|Q2U852|CSYB_ASPOR,3.5,3.8386,3.6835,3.5715,3.6406,3.5,3.5715,-0.0715,True,A_HvCHS2_pattern(I265),Aspergillus oryzae (strain ATCC 42149 / RIB 40),Acylalkylpyrone synthase csyB
A0A5N6ZPA6,tr|A0A5N6ZPA6|A0A5N6ZPA6_9EURO,3.7385,4.077,3.922,3.81,3.879,3.7385,3.81,-0.0715,False,D_broken_triad,Aspergillus caelatus,Thiolase-like protein
A0ABQ6L6I0,tr|A0ABQ6L6I0|A0ABQ6L6I0_ASPOZ,3.8609,4.1994,4.0444,3.9324,4.0014,3.8609,3.9324,-0.0715,False,D_broken_triad,Aspergillus oryzae var. brunneus,Unnamed protein product
Q53U81,tr|Q53U81|Q53U81_ASPOZ,3.8223,4.1608,4.0058,3.8938,3.9628,3.8223,3.8938,-0.0715,False,D_broken_triad,Aspergillus oryzae,Uncharacterized protein csyD
A0A5N6EYH2,tr|A0A5N6EYH2|A0A5N6EYH2_9EURO,3.8101,4.1486,3.9936,3.8816,3.9506,3.8101,3.8816,-0.0715,False,D_broken_triad,Aspergillus novoparasiticus,Thiolase-like protein
A0A2G7ELQ8,tr|A0A2G7ELQ8|A0A2G7ELQ8_9EURO,3.8466,4.1851,4.03,3.918,3.9871,3.8466,3.918,-0.0715,False,D_broken_triad,Aspergillus arachidicola,Chalcone/stilbene synthase N-terminal domain-containing protein
A0A0L1J6S3,tr|A0A0L1J6S3|A0A0L1J6S3_ASPN3,3.824,4.1626,4.0075,3.8955,3.9645,3.824,3.8955,-0.0715,False,D_broken_triad,Aspergillus nomiae NRRL (strain ATCC 15546 / NRRL 13137 / CBS 260.88 / M93),Thiolase-like protein (Fragment)
A0A1F7ZN65,tr|A0A1F7ZN65|A0A1F7ZN65_9EURO,3.7462,4.0847,3.9297,3.8177,3.8867,3.7462,3.8177,-0.0715,False,D_broken_triad,Aspergillus bombycis,Thiolase-like protein
A0A5N7BAZ4,tr|A0A5N7BAZ4|A0A5N7BAZ4_9EURO,3.9188,4.2574,4.1023,3.9903,4.0593,3.9188,3.9903,-0.0715,False,D_broken_triad,Aspergillus bertholletiae,Thiolase-like protein
A0A3N4IBC5,tr|A0A3N4IBC5|A0A3N4IBC5_ASCIM,3.5566,3.8951,3.74,3.628,3.6971,3.5566,3.628,-0.0715,True,B_aliphatic_gatekeeper,Ascobolus immersus RN42,Thiolase-like protein
A0AAJ0GJ08,tr|A0AAJ0GJ08|A0AAJ0GJ08_9PEZI,3.5866,3.9252,3.7701,3.6581,3.7272,3.5866,3.6581,-0.0715,True,B_aliphatic_gatekeeper,Extremus antarcticus,Type III polyketide synthase
A0ACC0TQK0,tr|A0ACC0TQK0|A0ACC0TQK0_9AGAM,3.6289,3.9675,3.8124,3.7004,3.7694,3.6289,3.7004,-0.0715,True,B_aliphatic_gatekeeper,Russula earlei,Naringenin-chalcone synthase
A0A0F7ZWY9,tr|A0A0F7ZWY9|A0A0F7ZWY9_9HYPO,3.6786,4.0171,3.862,3.75,3.8191,3.6786,3.75,-0.0715,True,B_aliphatic_gatekeeper,Hirsutella minnesotensis 3608,Alpha-pyrone synthesis polyketide synthase-like Pks18
A0A9W9LX41,tr|A0A9W9LX41|A0A9W9LX41_9EURO,3.9521,4.2906,4.1355,4.0235,4.0926,3.9521,4.0235,-0.0715,True,B_aliphatic_gatekeeper,Penicillium capsulatum,Type III Polyketide synthases (Type III PKS)
A0A0F7ZVP0,tr|A0A0F7ZVP0|A0A0F7ZVP0_9HYPO,3.7962,4.1347,3.9796,3.8676,3.9367,3.7962,3.8676,-0.0715,True,B_aliphatic_gatekeeper,Hirsutella minnesotensis 3608,Alpha-pyrone synthesis polyketide synthase-like Pks18
A0AAJ0CFW4,tr|A0AAJ0CFW4|A0AAJ0CFW4_9HYPO,3.8017,4.1402,3.9851,3.8731,3.9422,3.8017,3.8731,-0.0715,True,B_aliphatic_gatekeeper,Conoideocrella luteorostrata,"Chalcone and stilbene synthase, C-terminal domain"
A0A9P9DC98,tr|A0A9P9DC98|A0A9P9DC98_9HYPO,3.7283,4.0668,3.9117,3.7997,3.8688,3.7283,3.7997,-0.0715,True,B_aliphatic_gatekeeper,Dactylonectria estremocensis,Chalcone/stilbene synthase
A0A9P9J4G7,tr|A0A9P9J4G7|A0A9P9J4G7_9HYPO,3.7253,4.0639,3.9088,3.7968,3.8658,3.7253,3.7968,-0.0715,True,B_aliphatic_gatekeeper,Dactylonectria macrodidyma,Thiolase-like protein
A0A4S3JIC4,tr|A0A4S3JIC4|A0A4S3JIC4_9EURO,3.7214,4.0599,3.9048,3.7929,3.8619,3.7214,3.7929,-0.0715,True,B_aliphatic_gatekeeper,Aspergillus tanneri,Type III Polyketide synthases (Type III PKS)
A0AAN6MYE3,tr|A0AAN6MYE3|A0AAN6MYE3_9PEZI,3.4221,3.7606,3.6055,3.4935,3.5626,3.4221,3.4935,-0.0715,True,B_aliphatic_gatekeeper,Diplogelasinospora grovesii,Alpha-pyrone synthesis polyketide synthase-like Pks18
A0AAJ0BG24,tr|A0AAJ0BG24|A0AAJ0BG24_9PEZI,3.5964,3.935,3.7799,3.6679,3.7369,3.5964,3.6679,-0.0715,True,B_aliphatic_gatekeeper,Echria macrotheca,Alpha-pyrone synthesis polyketide synthase-like Pks18
A0AAN7B2Z0,tr|A0AAN7B2Z0|A0AAN7B2Z0_9PEZI,3.8846,4.2231,4.068,3.9561,4.0251,3.8846,3.9561,-0.0715,True,B_aliphatic_gatekeeper,Rhypophila decipiens,Thiolase-like protein
A0AA39XCD2,tr|A0AA39XCD2|A0AA39XCD2_9PEZI,3.858,4.1965,4.0415,3.9295,3.9985,3.858,3.9295,-0.0715,True,B_aliphatic_gatekeeper,Bombardia bombarda,Thiolase-like protein
M5FQY3,tr|M5FQY3|M5FQY3_DACPD,3.072,3.4105,3.2554,3.1434,3.2125,3.072,3.1434,-0.0715,True,B_aliphatic_gatekeeper,Dacryopinax primogenitus,Thiolase-like protein (Fragment)
A0A165HS99,tr|A0A165HS99|A0A165HS99_9BASI,3.2976,3.6361,3.481,3.369,3.4381,3.2976,3.369,-0.0715,True,B_aliphatic_gatekeeper,Calocera cornea HHB12733,Thiolase-like protein
A0A167LZZ0,tr|A0A167LZZ0|A0A167LZZ0_CALVF,3.2653,3.6039,3.4488,3.3368,3.4058,3.2653,3.3368,-0.0715,True,B_aliphatic_gatekeeper,Calocera viscosa (strain TUFC12733),Thiolase-like protein
A0A8K0NPA6,tr|A0A8K0NPA6|A0A8K0NPA6_9TREE,3.4978,3.8364,3.6813,3.5693,3.6383,3.4978,3.5693,-0.0715,True,A_HvCHS2_pattern(I265),Filobasidium floriforme,Thiolase-like protein
A0ACC2WCV7,tr|A0ACC2WCV7|A0ACC2WCV7_9TREE,3.6139,3.9525,3.7974,3.6854,3.7544,3.6139,3.6854,-0.0715,True,A_HvCHS2_pattern(I265),Naganishia friedmannii,Uncharacterized protein
A0ACC2XXF6,tr|A0ACC2XXF6|A0ACC2XXF6_9TREE,3.6654,4.004,3.8489,3.7369,3.806,3.6654,3.7369,-0.0715,True,A_HvCHS2_pattern(I265),Naganishia onofrii,Chalcone/stilbene synthase C-terminal domain-containing protein
A0ACC2XS98,tr|A0ACC2XS98|A0ACC2XS98_9TREE,3.6515,3.9901,3.835,3.723,3.792,3.6515,3.723,-0.0715,True,A_HvCHS2_pattern(I265),Naganishia vaughanmartiniae,Chalcone/stilbene synthase C-terminal domain-containing protein
A0A8H3TS81,tr|A0A8H3TS81|A0A8H3TS81_9TREE,3.7688,4.1073,3.9522,3.8402,3.9093,3.7688,3.8402,-0.0715,True,A_HvCHS2_pattern(I265),Naganishia liquefaciens,Type III polyketide synthase
A0A889ZF18,tr|A0A889ZF18|A0A889ZF18_9TREE,3.668,4.0066,3.8515,3.7395,3.8086,3.668,3.7395,-0.0715,True,A_HvCHS2_pattern(I265),Naganishia uzbekistanensis,PKSIII
A0ACC2VE90,tr|A0ACC2VE90|A0ACC2VE90_9TREE,3.7369,4.0755,3.9204,3.8084,3.8774,3.7369,3.8084,-0.0715,False,D_broken_triad,Naganishia adeliensis,Chalcone/stilbene synthase N-terminal domain-containing protein
A0AAD6V8Q3,tr|A0AAD6V8Q3|A0AAD6V8Q3_9AGAR,3.3104,3.6489,3.4939,3.3819,3.4509,3.3104,3.3819,-0.0715,True,B_aliphatic_gatekeeper,Mycena pura,Type Iii polyketide Synthase
A0AAD6VAS7,tr|A0AAD6VAS7|A0AAD6VAS7_9AGAR,3.2441,3.5827,3.4276,3.3156,3.3846,3.2441,3.3156,-0.0715,True,C_aromatic_gatekeeper(classicCHS-like),Mycena pura,Type Iii polyketide Synthase
A0AAD2HHH8,tr|A0AAD2HHH8|A0AAD2HHH8_9AGAR,3.5103,3.8489,3.6938,3.5818,3.6508,3.5103,3.5818,-0.0715,True,B_aliphatic_gatekeeper,Mycena citricolor,Chalcone synthase
A0AAD2K853,tr|A0AAD2K853|A0AAD2K853_9AGAR,3.3429,3.6815,3.5264,3.4144,3.4835,3.3429,3.4144,-0.0715,True,B_aliphatic_gatekeeper,Mycena citricolor,Chalcone synthase
A0A8H7D3J6,tr|A0A8H7D3J6|A0A8H7D3J6_9AGAR,3.3266,3.6651,3.51,3.398,3.4671,3.3266,3.398,-0.0715,True,B_aliphatic_gatekeeper,Mycena sanguinolenta,Chalcone synthase
A0AAD7AQX4,tr|A0AAD7AQX4|A0AAD7AQX4_9AGAR,3.2764,3.6149,3.4598,3.3478,3.4169,3.2764,3.3478,-0.0715,True,B_aliphatic_gatekeeper,Mycena albidolilacea,Type Iii polyketide Synthase
A0AAD6TW98,tr|A0AAD6TW98|A0AAD6TW98_9AGAR,3.5736,3.9121,3.757,3.645,3.7141,3.5736,3.645,-0.0715,True,B_aliphatic_gatekeeper,Mycena belliarum,Thiolase-like protein
A0AAD6XS82,tr|A0AAD6XS82|A0AAD6XS82_9AGAR,3.4625,3.801,3.6459,3.5339,3.603,3.4625,3.5339,-0.0715,True,B_aliphatic_gatekeeper,Mycena belliarum,Type Iii polyketide Synthase
A0AAD7GCC2,tr|A0AAD7GCC2|A0AAD7GCC2_MYCRO,3.3803,3.7188,3.5637,3.4517,3.5208,3.3803,3.4517,-0.0715,True,B_aliphatic_gatekeeper,Mycena rosella,Polyketide synthase
A0A8H7DBF6,tr|A0A8H7DBF6|A0A8H7DBF6_9AGAR,3.395,3.7335,3.5785,3.4665,3.5355,3.395,3.4665,-0.0715,True,B_aliphatic_gatekeeper,Mycena venus,Chalcone synthase
A0A8H7D0J3,tr|A0A8H7D0J3|A0A8H7D0J3_9AGAR,3.4329,3.7714,3.6164,3.5044,3.5734,3.4329,3.5044,-0.0715,True,B_aliphatic_gatekeeper,Mycena sanguinolenta,Chalcone synthase
A0A8H6YAK7,tr|A0A8H6YAK7|A0A8H6YAK7_9AGAR,3.5638,3.9024,3.7473,3.6353,3.7043,3.5638,3.6353,-0.0715,True,B_aliphatic_gatekeeper,Mycena sanguinolenta,Type III polyketide synthase
A0AAD7MQF2,tr|A0AAD7MQF2|A0AAD7MQF2_9AGAR,3.2959,3.6344,3.4794,3.3674,3.4364,3.2959,3.3674,-0.0715,True,B_aliphatic_gatekeeper,Mycena metata,Type Iii polyketide Synthase
A0AAD6YJJ8,tr|A0AAD6YJJ8|A0AAD6YJJ8_9AGAR,3.5706,3.9092,3.7541,3.6421,3.7112,3.5706,3.6421,-0.0715,True,A_HvCHS2_pattern(I265),Mycena pura,Type Iii polyketide Synthase
A0AAD7E1R3,tr|A0AAD7E1R3|A0AAD7E1R3_9AGAR,3.559,3.8976,3.7425,3.6305,3.6995,3.559,3.6305,-0.0715,True,A_HvCHS2_pattern(I265),Mycena pura,Type Iii polyketide Synthase
A0AAD7FUW0,tr|A0AAD7FUW0|A0AAD7FUW0_9AGAR,3.6058,3.9444,3.7893,3.6773,3.7463,3.6058,3.6773,-0.0715,True,C_other,Roridomyces roridus,Type Iii polyketide Synthase (Fragment)
A0AAD7JK17,tr|A0AAD7JK17|A0AAD7JK17_9AGAR,3.4195,3.7581,3.603,3.491,3.56,3.4195,3.491,-0.0715,True,A_HvCHS2_pattern(I265),Mycena maculata,Chalcone synthase
A0ABR0JF95,tr|A0ABR0JF95|A0ABR0JF95_9EURO,3.6124,3.951,3.7959,3.6839,3.7529,3.6124,3.6839,-0.0715,True,B_aliphatic_gatekeeper,Exophiala sideris,Chalcone synthase
A0A4Z0YH81,tr|A0A4Z0YH81|A0A4Z0YH81_9PEZI,4.0499,4.3884,4.2334,4.1214,4.1904,4.0499,4.1214,-0.0715,True,B_aliphatic_gatekeeper,Xylaria hypoxylon,Chalcone synthase
A0A439DKJ4,tr|A0A439DKJ4|A0A439DKJ4_9PEZI,4.0993,4.4379,4.2828,4.1708,4.2398,4.0993,4.1708,-0.0715,True,B_aliphatic_gatekeeper,Xylaria grammica,Chalcone synthase
A0A7C8IFZ2,tr|A0A7C8IFZ2|A0A7C8IFZ2_9PEZI,4.0896,4.4282,4.2731,4.1611,4.2301,4.0896,4.1611,-0.0715,True,B_aliphatic_gatekeeper,Xylaria multiplex,Chalcone synthase
A0A9W8TJ25,tr|A0A9W8TJ25|A0A9W8TJ25_9PEZI,4.1303,4.4689,4.3138,4.2018,4.2708,4.1303,4.2018,-0.0715,True,B_aliphatic_gatekeeper,Xylaria arbuscula,Chalcone synthase B
A0AAN7UGM4,tr|A0AAN7UGM4|A0AAN7UGM4_9PEZI,4.1847,4.5232,4.3682,4.2562,4.3252,4.1847,4.2562,-0.0715,True,B_aliphatic_gatekeeper,Xylaria bambusicola,Chalcone synthase B
A0A553HLF1,tr|A0A553HLF1|A0A553HLF1_9PEZI,4.116,4.4545,4.2994,4.1874,4.2565,4.116,4.1874,-0.0715,True,B_aliphatic_gatekeeper,Xylaria flabelliformis,Chalcone synthase
A0A1W2TQJ5,tr|A0A1W2TQJ5|A0A1W2TQJ5_ROSNE,4.1528,4.4914,4.3363,4.2243,4.2933,4.1528,4.2243,-0.0715,True,B_aliphatic_gatekeeper,Rosellinia necatrix,Chalcone synthase B
A0ACC2JXP6,tr|A0ACC2JXP6|A0ACC2JXP6_9PEZI,4.1442,4.4828,4.3277,4.2157,4.2847,4.1442,4.2157,-0.0715,True,B_aliphatic_gatekeeper,Lasiodiplodia mahajangana,Uncharacterized protein
A0A6A6H916,tr|A0A6A6H916|A0A6A6H916_VIRVR,4.1553,4.4939,4.3388,4.2268,4.2958,4.1553,4.2268,-0.0715,True,B_aliphatic_gatekeeper,Viridothelium virens,Thiolase-like protein
A0A5N6VBQ0,tr|A0A5N6VBQ0|A0A5N6VBQ0_ASPTM,4.0415,4.38,4.2249,4.1129,4.182,4.0415,4.1129,-0.0715,True,B_aliphatic_gatekeeper,Aspergillus tamarii,Chalcone synthase B
A0A5N6SV38,tr|A0A5N6SV38|A0A5N6SV38_ASPPS,4.0923,4.4308,4.2758,4.1638,4.2328,4.0923,4.1638,-0.0715,True,B_aliphatic_gatekeeper,Aspergillus pseudotamarii,Chalcone synthase B
A0A5N6X0E9,tr|A0A5N6X0E9|A0A5N6X0E9_9EURO,4.1476,4.4861,4.331,4.219,4.2881,4.1476,4.219,-0.0715,False,D_broken_triad,Aspergillus sergii,Thiolase-like protein
A0A5N7ANY5,tr|A0A5N7ANY5|A0A5N7ANY5_9EURO,4.08,4.4186,4.2635,4.1515,4.2205,4.08,4.1515,-0.0715,True,B_aliphatic_gatekeeper,Aspergillus caelatus,Chalcone synthase B
A0A395HWD7,tr|A0A395HWD7|A0A395HWD7_ASPHC,4.4108,4.7494,4.5943,4.4823,4.5513,4.4108,4.4823,-0.0715,True,B_aliphatic_gatekeeper,Aspergillus homomorphus (strain CBS 101889),Thiolase-like protein
A0A319C6Z2,tr|A0A319C6Z2|A0A319C6Z2_9EURO,4.5315,4.87,4.7149,4.6029,4.672,4.5315,4.6029,-0.0715,True,B_aliphatic_gatekeeper,Aspergillus uvarum CBS 121591,Thiolase-like protein
A0A2V5HK67,tr|A0A2V5HK67|A0A2V5HK67_9EURO,4.5503,4.8888,4.7337,4.6217,4.6908,4.5503,4.6217,-0.0715,True,B_aliphatic_gatekeeper,Aspergillus indologenus CBS 114.80,Thiolase-like protein (Fragment)
A0A2V5I787,tr|A0A2V5I787|A0A2V5I787_ASPV1,4.5569,4.8955,4.7404,4.6284,4.6974,4.5569,4.6284,-0.0715,True,B_aliphatic_gatekeeper,Aspergillus violaceofuscus (strain CBS 115571),Thiolase-like protein
A0A1L9WIG9,tr|A0A1L9WIG9|A0A1L9WIG9_ASPA1,4.6545,4.9931,4.838,4.726,4.795,4.6545,4.726,-0.0715,True,B_aliphatic_gatekeeper,Aspergillus aculeatus (strain ATCC 16872 / CBS 172.66 / WB 5094),Thiolase-like protein
A0A8G1RYW8,tr|A0A8G1RYW8|A0A8G1RYW8_9EURO,4.5915,4.93,4.775,4.663,4.732,4.5915,4.663,-0.0715,True,B_aliphatic_gatekeeper,Aspergillus fijiensis CBS 313.89,Thiolase-like protein
A0A5N5WR41,tr|A0A5N5WR41|A0A5N5WR41_9EURO,4.0282,4.3668,4.2117,4.0997,4.1687,4.0282,4.0997,-0.0715,True,B_aliphatic_gatekeeper,Aspergillus leporis,Chalcone synthase B
